Date,Open,High,Low,Close,Adj Close,Volume
26-05-2000,7,7,6.86,6.9,5.089121,50500
29-05-2000,6.93,7.2,6.81,7.04,5.19238,43135
30-05-2000,7.02,7.1,6.9,7,5.162877,112000
31-05-2000,7.1,7.3,7.1,7.2,5.310386,97095
01-06-2000,7.08,7.2,7.06,7.06,5.20713,45155
02-06-2000,7.19,7.3,7,7.01,5.170252,74015
05-06-2000,7.24,7.25,7.06,7.1,5.236632,81595
06-06-2000,6.92,7.1,6.92,6.98,5.148126,109100
07-06-2000,6.95,7.2,6.95,7.11,5.244008,108750
08-06-2000,7.29,7.29,7.06,7.17,5.288261,90000
09-06-2000,7.02,7.2,7.02,7.08,5.22188,87750
12-06-2000,7.48,7.48,6.52,6.52,4.808852,182500
13-06-2000,6.58,6.6,6.4,6.59,4.860479,261000
14-06-2000,6.69,6.77,6.41,6.48,4.779349,147925
15-06-2000,6.6,6.69,6.58,6.65,4.904733,43625
16-06-2000,6.59,6.72,6.49,6.69,4.934235,204500
19-06-2000,6.7,6.92,6.7,6.82,5.030118,188000
20-06-2000,6.91,6.91,6.72,6.8,5.015366,94750
21-06-2000,6.55,6.8,6.51,6.7,4.94161,31750
22-06-2000,6.52,6.78,6.52,6.64,4.897357,48500
23-06-2000,6.64,6.74,6.52,6.56,4.838353,65125
26-06-2000,6.98,6.98,6.57,6.61,4.875231,42000
27-06-2000,6.65,6.65,6.52,6.55,4.830978,29375
28-06-2000,6.61,6.65,6.52,6.57,4.845728,25300
29-06-2000,6.6,6.6,6.52,6.54,4.823602,35500
30-06-2000,6.52,6.67,6.45,6.64,4.897357,84000
03-07-2000,7.1,7.1,6.61,6.72,4.95636,49600
04-07-2000,6.59,6.78,6.59,6.68,4.926859,40630
05-07-2000,6.61,6.74,6.59,6.65,4.904733,29625
06-07-2000,6.6,6.98,6.58,6.87,5.066994,136250
07-07-2000,6.85,6.99,6.6,6.64,4.897357,87425
10-07-2000,6.7,6.8,6.52,6.76,4.985864,101750
11-07-2000,6.55,6.77,6.55,6.68,4.926859,59650
12-07-2000,6.62,7,6.62,6.87,5.066994,156250
13-07-2000,7,7.41,6.91,7.41,5.465273,228500
14-07-2000,7.98,8,7.3,8,5.90043,402400
17-07-2000,8.63,8.63,7.77,7.8,5.75292,932305
18-07-2000,7.7,8.15,7.61,7.91,5.83405,618545
19-07-2000,7.98,8.54,7.92,8.45,6.232331,878585
20-07-2000,8.38,8.4,8.07,8.16,6.018439,322100
21-07-2000,8.4,8.6,7.73,8.33,6.143825,1022100
24-07-2000,7.83,7.95,7.67,7.68,5.664413,268275
25-07-2000,7.56,8.2,7.07,8.17,6.025815,781125
26-07-2000,8.25,8.25,7.83,8,5.90043,187175
27-07-2000,7.81,8,7.75,7.99,5.893055,246725
28-07-2000,7.9,8,7.8,7.99,5.893055,206230
31-07-2000,7.87,7.98,7.76,7.91,5.83405,112975
01-08-2000,7.9,7.9,7.71,7.83,5.775047,78975
02-08-2000,7.8,7.87,7.68,7.8,5.75292,146775
03-08-2000,7.8,7.81,7.7,7.78,5.738169,131125
04-08-2000,7.71,7.8,7.4,7.46,5.502151,188350
07-08-2000,7.3,7.8,7.3,7.67,5.657037,61125
08-08-2000,7.66,7.7,7.46,7.53,5.553781,102125
09-08-2000,7.59,7.71,7.52,7.59,5.598033,87000
10-08-2000,7.51,7.64,7.4,7.58,5.590658,53850
11-08-2000,7.5,7.57,7.44,7.5,5.531654,69455
14-08-2000,7.6,7.6,7.42,7.45,5.494776,39000
15-08-2000,7.45,7.45,7.45,7.45,5.494776,0
16-08-2000,7.41,7.6,7.41,7.6,5.60541,227995
17-08-2000,7.57,7.6,7.52,7.58,5.590658,40750
18-08-2000,7.55,7.59,7.42,7.58,5.590658,98025
21-08-2000,7.6,7.66,7.5,7.6,5.60541,63700
